2024-12-11 11:41:02,199 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool                  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11h49m39s714ms160µs200ns).
2024-12-11 11:41:10,069 [http-nio-9090-exec-3] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/statistics/getMainPageData,2022030001,2024-12-11 11:41:10,0.039
2024-12-11 11:41:14,152 [http-nio-9090-exec-2] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/statistics/getMainPageData,2022030001,2024-12-11 11:41:14,0.004
2024-12-11 11:41:53,833 [http-nio-9090-exec-1] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/score/getStudentItemOptionList,2022030001,2024-12-11 11:41:53,0.007
2024-12-11 11:41:54,000 [http-nio-9090-exec-6] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/dailyActivity/list,2022030001,2024-12-11 11:41:53,0.014
2024-12-11 11:41:54,093 [http-nio-9090-exec-7] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/honor/list,2022030001,2024-12-11 11:41:54,0.007
2024-12-11 11:41:54,093 [http-nio-9090-exec-8] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/score/getStudentItemOptionList,2022030001,2024-12-11 11:41:54,0.007
2024-12-11 11:41:54,814 [http-nio-9090-exec-4] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/dailyActivity/list,2022030001,2024-12-11 11:41:54,0.005
2024-12-11 11:41:54,815 [http-nio-9090-exec-5] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/score/getStudentItemOptionList,2022030001,2024-12-11 11:41:54,0.006
2024-12-11 11:41:55,288 [http-nio-9090-exec-10] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/score/getStudentItemOptionList,2022030001,2024-12-11 11:41:55,0.005
2024-12-11 11:41:55,587 [http-nio-9090-exec-9] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/honor/list,2022030001,2024-12-11 11:41:55,0.003
2024-12-11 11:41:56,122 [http-nio-9090-exec-3] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/statistics/getMainPageData,2022030001,2024-12-11 11:41:56,0.003
2024-12-11 11:42:04,551 [http-nio-9090-exec-2] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/student/getStudentIntroduceData,2022030001,2024-12-11 11:42:04,0.009
2024-12-11 11:42:04,819 [http-nio-9090-exec-1] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:42:04,0.006
2024-12-11 11:42:32,878 [http-nio-9090-exec-6] WARN  org.apache.catalina.connector.Request              - Creating the temporary upload location [C:\Users\23993\AppData\Local\Temp\tomcat.9090.4706563795164184177\work\Tomcat\localhost\ROOT] as it is required by the servlet [dispatcherServlet]
2024-12-11 11:42:32,898 [http-nio-9090-exec-6] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/uploadPhotoWeb,2022030001,2024-12-11 11:42:32,0.024
2024-12-11 11:42:32,912 [http-nio-9090-exec-7] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:42:32,0.003
2024-12-11 11:42:36,374 [http-nio-9090-exec-8] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/student/getStudentIntroduceData,2022030001,2024-12-11 11:42:36,0.005
2024-12-11 11:42:36,385 [http-nio-9090-exec-4] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:42:36,0.002
2024-12-11 11:42:59,034 [http-nio-9090-exec-5] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/statistics/getMainPageData,2022030001,2024-12-11 11:42:59,0.004
2024-12-11 11:43:00,209 [http-nio-9090-exec-10] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/student/getStudentIntroduceData,2022030001,2024-12-11 11:43:00,0.006
2024-12-11 11:43:00,220 [http-nio-9090-exec-9] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:43:00,0.004
2024-12-11 11:43:33,164 [http-nio-9090-exec-3] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/uploadPhotoWeb,2022030001,2024-12-11 11:43:33,0.005
2024-12-11 11:43:33,492 [http-nio-9090-exec-2] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:43:33,0.002
2024-12-11 11:43:36,721 [http-nio-9090-exec-1] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/student/getStudentIntroduceData,2022030001,2024-12-11 11:43:36,0.005
2024-12-11 11:43:36,732 [http-nio-9090-exec-6] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:43:36,0.003
2024-12-11 11:43:47,681 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-12-11 11:43:47,689 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown initiated...
2024-12-11 11:43:47,694 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown completed.
2024-12-11 11:43:50,749 [background-preinit] INFO  o.h.validator.internal.util.Version                - HV000001: Hibernate Validator 6.2.0.Final
2024-12-11 11:43:50,758 [main] INFO  o.f.t.SpringBootSecurityJwtApplication             - Starting SpringBootSecurityJwtApplication using Java 17.0.10 on Tan_Thinkbook with PID 214720 (D:\23993\OneDrive\IDEA\WebCourseDesign\java-server\target\classes started by 23993 in D:\23993\OneDrive\IDEA\WebCourseDesign\java-server)
2024-12-11 11:43:50,759 [main] INFO  o.f.t.SpringBootSecurityJwtApplication             - No active profile set, falling back to default profiles: default
2024-12-11 11:43:51,525 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Multiple Spring Data modules found, entering strict repository configuration mode!
